x y obj1 obj2
1.49956139654 -0.902487653285 -3.248684382 1.25043879583
4.10702371018 -0.747460069893 -32.867643756 20.4395489152
4.67200331382 0.173393375048 -46.8276149644 32.1396017091
4.38116653342 -4.75827244105 -35.1946201936 21.6699540599
4.23456394096 -2.79426654517 -33.9315317701 20.9932760062
4.48343161016 0.387718676447 -36.101159003 22.1674325623
2.96897472882 0.850968916704 -17.8148109404 9.93891202509
3.48651205994 -0.588251729854 -21.1557663441 11.2097181044
3.72035032349 1.5906050301 -29.8410065295 18.9596052355
4.68134128093 -2.32835538623 -46.9149561886 32.1895910648
3.66968554752 0.147201569035 -29.4665920177 18.7878498276
2.81746935053 -2.98375928066 -16.9381335412 9.66825613906
3.84879410237 -3.35498504821 -30.8132160425 19.418039633
4.83125166213 2.34035623489 -48.3409926228 33.0159859743
3.953847549 -2.78504125551 -31.6329104407 19.8175202447
4.15622115359 3.44146231957 -33.2741742775 20.6492896632
3.20737532532 0.29936529879 -19.2872564775 10.4577551762
4.00430840917 -0.210979440034 -32.0344858357 20.0172521991
4.5825701697 -0.223506421766 -45.9999493602 31.6696686814
4.89946959876 4.2496512619 -49.0048023492 33.4069239541
4.55048582349 2.58080677327 -45.7069212298 31.5049779358
3.09515050311 -1.57456337806 -18.5799566369 10.1993546245
2.28185993989 -1.39697222278 -9.20688478526 4.07944502571
3.67302782722 3.22861522625 -29.4911334195 18.7990221106
4.46312412634 0.200614602413 -35.9194769671 22.0669804617
4.54161756212 -0.211028028279 -45.6262900805 31.4598198321
4.87499704932 -3.70556919918 -48.7655962309 33.2656080336
4.42462305662 -0.305503057701 -35.5772891932 21.8787969667
3.74921909089 -1.44593413101 -30.0566437915 19.0597674279
2.89981228815 -1.50249512346 -17.4089113065 9.80966215391
3.96912804875 -0.461795495426 -31.7539774674 19.8774652724
2.50930745857 -0.0420515388105 -15.2966239217 9.25939408736
3.89174152749 -3.48246105433 -31.1456521168 19.5786860068
4.08727539449 -1.99556001392 -32.7058201504 20.3567185725
2.8713480029 2.22616777225 -17.2446393537 9.75924734215
4.25279421482 0.540687537828 -34.0862586336 21.0750817743
4.2454722941 -1.38909678124 -34.024035 21.0421458236
4.50787333527 -0.601160406508 -45.3209220069 31.2894286658
2.45792523899 -0.260429241347 -10.0413964804 4.2096955245
3.23675595649 -4.04071480246 -19.4765891218 10.5295652959
4.16016913465 -0.361198085253 -33.3070072289 20.6663306903
2.84260794004 1.97400913038 -17.0804199008 9.70998814063
3.66104407205 4.45799930707 -29.4032436975 18.7590674093
4.19912201334 4.78472796264 -33.6326256829 20.8361376295
3.69307865591 -3.48246105433 -29.6388299587 18.8665153351
3.08863253055 -2.0644528994 -18.5396509088 10.1851207866
3.92517689823 -4.94147128657 -31.4070136824 19.7063060895
4.67923881013 4.55257722862 -46.8952758422 32.1783206017
3.45488764543 1.51829639601 -20.9362486425 11.1166980608
4.626075623 -2.95697085264 -46.4005756698 31.8962731777
4.5013555208 1.10416213898 -45.2622015246 31.2567794414
2.88856949841 0.293751243059 -17.3438337471 9.7895557535
2.853993135 1.07158902243 -17.1452768147 9.72930427464
4.67261520672 -0.75404744941 -46.8333328701 32.1428720432
2.6472950535 -0.768755531176 -16.0081711003 9.41899088629
3.22029287187 -3.57178172296 -19.3702861806 10.4891146931
2.19894093396 2.50943297229 -8.83534123105 4.03957749521
4.61137491968 -2.80789052784 -46.2647786498 31.8192789711
4.48498033208 -1.18638633196 -36.1150485791 22.1751272508
4.97013167245 -1.95999518387 -49.7022088415 33.8216821517
3.55821731467 0.146665611571 -28.6609104584 18.4280411997
4.94272724491 2.19405849399 -49.4305526176 33.6596436379
4.93875209474 -2.50986795659 -49.3912722533 33.6362638743
3.17017653682 4.73207860248 -19.0500192746 10.3693131273
4.72327518736 -1.83099073051 -47.3093284955 32.4162277461
4.73042810795 -4.13179037374 -47.3769500845 32.4552376527
